IP,SERVER
192.1.16.1,SERVER-ESX-1
192.1.16.2,SERVER-ESX-1
192.1.16.3,SERVER-ESX-1
192.1.16.4,SERVER-ESX-1
192.1.16.5,SERVER-ESX-2
192.1.16.6,SERVER-ESX-2
192.1.16.7,SERVER-ESX-2
192.1.16.8,SERVER-ESX-2
192.1.16.9,SERVER-ESX-2
192.1.16.10,SERVER-ESX-2
192.1.16.11,SERVER-ESX-2
192.1.16.12,SERVER-ESX-2
192.1.16.13,SERVER-ESX-2
192.1.16.14,SERVER-ESX-3
192.1.16.15,SERVER-ESX-3
192.1.16.16,SERVER-ESX-3
192.1.16.17,SERVER-ESX-3
192.1.16.18,SERVER-ESX-3
192.1.16.19,SERVER-ESX-4
192.1.16.20,SERVER-ESX-4
192.1.16.21,SERVER-ESX-4
192.1.16.22,SERVER-ESX-4
192.1.16.23,SERVER-ESX-4
192.1.16.24,SERVER-ESX-5
192.1.16.25,SERVER-ESX-5
192.1.16.26,SERVER-ESX-5
192.1.16.27,SERVER-ESX-5
192.1.16.28,SERVER-ESX-5
192.1.16.29,SERVER-ESX-5
192.1.16.30,SERVER-ESX-5
192.1.16.31,SERVER-ESX-5
192.1.16.32,SERVER-ESX-6
192.1.16.33,SERVER-ESX-6
192.1.16.34,SERVER-ESX-6
192.1.16.35,SERVER-ESX-6
192.1.16.36,SERVER-ESX-6
192.1.16.37,SERVER-ESX-6
192.1.16.38,SERVER-ESX-7
192.1.16.39,SERVER-ESX-7
192.1.16.40,SERVER-ESX-7
192.1.16.41,SERVER-ESX-7
192.1.16.42,SERVER-ESX-7
192.1.16.43,SERVER-ESX-7
192.1.16.44,SERVER-ESX-7
192.1.16.45,SERVER-ESX-8
192.1.16.46,SERVER-ESX-8
192.1.16.47,SERVER-ESX-8
192.1.16.48,SERVER-ESX-8
192.1.16.49,SERVER-ESX-8
192.1.16.50,SERVER-ESX-8
192.1.16.51,SERVER-ESX-8
192.1.16.52,SERVER-ESX-9
192.1.16.53,SERVER-ESX-9
192.1.16.54,SERVER-ESX-9
192.1.16.55,SERVER-ESX-9
192.1.16.56,SERVER-ESX-9
192.1.16.57,SERVER-ESX-9
192.1.16.58,SERVER-ESX-9
192.1.16.59,SERVER-ESX-9
192.1.16.60,SERVER-ESX-9
192.1.16.61,SERVER-ESX-10
